,reg_shortname,reg_name,province,location,lat,lon,alt
0,AB,Abruzzo,AQ,L'Aquila,42.1368853,13.610341022538911,700.0
1,AB,Abruzzo,CH,Chieti,42.10269285,14.41590530501923,325.0
2,AB,Abruzzo,PE,Pescara,42.3102619,13.95759010584892,5.0
3,AB,Abruzzo,TE,Teramo,42.65811795,13.69787458752063,275.0
4,BC,Basilicata,PZ,Oppido Lucano,40.76182,15.98667,767.0
5,BC,Basilicata,MT,Matera,40.447641899999994,16.47357384028852,475.0
6,CL,Calabria,CS,Fitterizi,,,185.0
7,CL,Calabria,CZ,Chiaravalle Centrale,38.680383,16.410603,714.0
8,CL,Calabria,KR,Crotone,39.1873894,16.87828188895307,10.0
9,CL,Calabria,RC,Reggio Calabria,38.1035389,15.6397556,15.0
10,CL,Calabria,VV,Vibo Valentia,38.6266556,16.098693458946357,498.0
11,CM,Campania,AV,Mirabella Eclano,41.044919,14.998744,309.0
12,CM,Campania,BN,Airola,41.0610225,14.5584304,270.0
13,CM,Campania,CE,Vitulazio,41.164116,14.216925,65.0
14,CM,Campania,NA,Battipaglia,40.6092539,14.9821443,55.0
15,CM,Campania,SA,Policastro Bussentino,40.0765477,15.5246477,5.0
16,ER,Emilia Romagna,BO,Bologna,44.4938203,11.3426327,48.0
17,ER,Emilia Romagna,FC,Cesena,44.136352,12.2422442,42.0
18,ER,Emilia Romagna,FE,Ferrara,44.766764249999994,11.827938995640167,6.0
19,ER,Emilia Romagna,MO,Modena,44.5384728,10.935960870530739,37.0
20,ER,Emilia Romagna,PC,Piacenza,44.8476352,9.666531257696896,51.0
21,ER,Emilia Romagna,PR,Parma,44.8013678,10.3280833,57.0
22,ER,Emilia Romagna,RA,Ravenna,44.364060699999996,12.059009490863945,2.0
23,ER,Emilia Romagna,RE,Reggio Emilia,44.6086674,10.594066675914796,56.0
24,ER,Emilia Romagna,RN,Rimini,43.946503899999996,12.631031715742981,7.0
25,FV,Friuli Venezia Giulia,GO,Gradisca d'Isonzo ,45.8895509,13.5003287,30.0
26,FV,Friuli Venezia Giulia,PN,Pordenone,45.9562503,12.6597197,30.0
27,FV,Friuli Venezia Giulia,TS,Trieste - Molo Bandiera,45.64891435,13.7549272240603,2.0
28,FV,Friuli Venezia Giulia,UD,Udine,46.0634632,13.2358377,80.0
29,LZ,Lazio,FR,Frosinone,41.628546799999995,13.57584977062367,179.0
30,LZ,Lazio,LT,Latina,41.45952605,13.012591212188894,23.0
31,LZ,Lazio,RI,Piana di Rieti,42.339365150000006,13.151600682783538,378.0
32,LZ,Lazio,RM,Roma ,41.8933203,12.4829321,32.0
33,LZ,Lazio,VT,Montefiascone,42.5379248,12.0309974,327.0
34,LG,Liguria,GE,Recco - Polanesi,44.3766811,9.1454698,50.0
35,LG,Liguria,IM,Sanremo,43.8198253,7.7748827,61.0
36,LG,Liguria,SP,Lerici - Monte Rocchetta,,,360.0
37,LG,Liguria,SV,Capo Vado Ligure,44.262262500000006,8.450575308530816,170.0
38,LM,Lombardia,BG,Bergamo - via Goisis,,,290.0
39,LM,Lombardia,BS,Bargnano,45.4315539,10.0392722,93.0
40,LM,Lombardia,CO,Vertemate con Minoprio,45.7282151,9.078414742842819,322.0
41,LM,Lombardia,CR,Capralba,45.444075,9.643258,96.0
42,LM,Lombardia,LC,Valmadrera,45.846282,9.358244,237.0
43,LM,Lombardia,LO,S.Angelo Lodigiano,45.238067,9.408656,60.0
44,LM,Lombardia,MB,Cinisello Balsamo,45.5586454,9.2141955,142.0
45,LM,Lombardia,MI,Milano - via Juvara,,,122.0
46,LM,Lombardia,MN,Palidano di Gonzaga,44.9660782,10.7705987,22.0
47,LM,Lombardia,PV,Castello di Agogna,45.604560199999995,8.551760401306128,106.0
48,LM,Lombardia,SO,Sondrio,46.32336235,10.258413671017703,307.0
49,LM,Lombardia,VA,Ispra,45.815457,8.6101375,193.0
50,MH,Marche,AN,Ancona - Regione,45.9925637,13.479856,91.0
51,MH,Marche,AP,Mozzano,44.5538936,10.2848086,180.0
52,MH,Marche,FM,Porto Sant'Elpidio ,43.2586872,13.7584226,5.0
53,MH,Marche,MC,Camerino,43.1357641,13.0683092,581.0
54,MH,Marche,PU,Villa Fastiggi,43.8842355,12.870091,20.0
55,ML,Molise,CB,Jelsi,41.517928,14.798734,581.0
56,ML,Molise,IS,Forli del Sannio,41.695927,14.179517,660.0
57,PM,Piemonte,AL,Alessandria Lobbi,44.9243986,8.6978045,90.0
58,PM,Piemonte,AT,Asti,44.826012649999996,8.202686328987273,175.0
59,PM,Piemonte,BI,Massazza,45.491362,8.164524,226.0
60,PM,Piemonte,CN,Boves,44.3296258,7.5518938,575.0
61,PM,Piemonte,NO,Cameri,45.4996737,8.6604512,173.0
62,PM,Piemonte,TO,Bauducchi,44.9666392,7.7098763,226.0
63,PM,Piemonte,VB,Pallanza,45.9230169,8.5497586,202.0
64,PM,Piemonte,VC,Vercelli,45.55538265,8.346283678327271,132.0
65,PU,Puglia,BA,Binetto,41.0241649,16.7095806,189.0
66,PU,Puglia,BR,Mesagne - Moccari,,,53.0
67,PU,Puglia,BT,Trani,41.275088,16.4162585,63.0
68,PU,Puglia,FG,Castelluccio dei Sauri - Colazze-Giardinetto,,,233.0
69,PU,Puglia,LE,Otranto,40.147825,18.485933,24.0
