id,name,wmo,lat,lon
16008,S. Valentino Alla Muta,16008,46.75,10.5333
16014,Vipiteno - Castel Tona,16014,46.8839,11.44
16020,Bolzano,16020,46.4667,11.3333
16021,Passo Rolle,16021,46.3,11.7833
16022,Paganella,16022,46.15,11.0333
16023,Trento - Mattarello,16023,46.0203,11.1267
16033,Dobbiaco,16033,46.7333,12.2167
16036,Aviano,16036,46.0333,12.6
16037,Aviano Usaf,16037,46.0333,12.6167
16040,Tarvisio,16040,46.5,13.5833
16044,Udine - Campoformido,16044,46.0333,13.1833
16045,Udine - Rivolto,16045,45.9833,13.0333
16052,Pian Rosa,16052,45.9333,7.7
16054,Aosta,16054,45.7333,7.35
16058,Bousson,16058,44.9339,6.8222
16059,Torino - Caselle,16059,45.2167,7.65
16060,Torino - Altessano,16060,45.1306,7.6175
16061,Torino - Bric Della Croce,16061,45.0333,7.7333
16064,Novara - Cameri,16064,45.5167,8.6667
16066,Milano - Malpensa,16066,45.6167,8.7333
16068,Casale Monferrato - Terranova,16068,45.1128,8.4536
16072,Monte Bisbino,16072,45.8667,9.0667
16076,Bergamo - Orio Al Serio,16076,45.6667,9.7
16080,Milano - Linate,16080,45.4333,9.2833
16081,Milano Linate,16081,45.46,9.2583
16084,Piacenza,16084,44.9167,9.7333
16088,Brescia - Ghedi,16088,45.4167,10.2833
16089,Verona - Rivoltella,16089,45.4644,10.5553
16090,Verona - Villafranca,16090,45.3833,10.8667
16094,Vicenza,16094,45.5667,11.5167
16095,Padova,16095,45.4,11.85
16098,Treviso - Istrana,16098,45.6833,12.1
16099,Treviso - S. Angelo,16099,45.65,12.1833
16101,Trieste,16101,45.65,13.75
16105,Venezia - Tessera,16105,45.5,12.3333
16107,Pontelagoscuro - Stiago,16107,45.7611,12.8569
16108,Ronchi Dei Legionari,16108,45.8167,13.4833
16110,Trieste,16110,45.65,13.75
16111,Monte Settepani - Caragna,16111,44.2425,8.2011
16114,Mondovi,16114,44.3833,7.8167
16115,Monte Malanotte,16115,44.25,7.8
16119,Passo Dei Giovi,16119,44.6333,8.9333
16120,Genova - Sestri,16120,44.4167,8.85
16122,Albenga,16122,44.05,8.1167
16124,Passo Della Cisa,16124,44.4333,9.9333
16125,Sarzana - Luni,16125,44.0833,9.9833
16129,Isola Di Palmaria,16129,44.0333,9.8333
16130,Parma - Fognano,16130,44.8172,10.2969
16132,Bologna - Borgo Panigale,16132,44.5275,11.2886
16133,Ferrara - Fontana,16133,44.8153,11.6125
16134,Monte Cimone,16134,44.2,10.7
16136,Passo Porretta,16136,44.0167,11.0
16138,Ferrara,16138,44.8333,11.6167
16140,Bologna - Borgo Panigale,16140,44.5333,11.3
16146,Punta Marina,16146,44.45,12.3
16147,Forli,16147,44.2,12.0667
16148,Cervia,16148,44.2167,12.3
16149,Rimini,16149,44.0333,12.6167
16153,Capo Mele,16153,43.95,8.1667
16158,Pisa - S. Giusto,16158,43.6833,10.3833
16164,Volterra,16164,43.4,10.8667
16168,Monte Argentario,16168,42.3833,11.1667
16170,Firenze - Peretola,16170,43.8,11.2
16172,Arezzo,16172,43.4667,11.85
16179,Frontone,16179,43.5167,12.7333
16181,Perugia,16181,43.0833,12.5
16190,Ancona - Poggio,16190,43.6114,13.5253
16191,Falconara,16191,43.6167,13.3667
16192,Loreto - Montarice,16192,43.43,13.6036
16204,Radicofani,16204,42.9,11.7667
16206,Grosseto,16206,42.75,11.0667
16214,Civitavecchia,16214,42.0333,11.8333
16216,Viterbo,16216,42.4333,12.05
16218,Viterbo - Bullicame,16218,42.4408,12.0578
16219,Monte Terminillo,16219,42.4667,12.9833
16221,Rieti,16221,42.4167,12.85
16224,Vigna Di Valle,16224,42.0833,12.2167
16226,L`aquila - Coppito,16226,42.3756,13.3272
16229,Gran Sasso Mountain Range - Gran Sasso Mtn Rng - San Massimo,16229,42.45,13.7
16230,Pescara,16230,42.4333,14.2
16232,Termoli,16232,42.0,15.0
16234,Guidonia,16234,42.0,12.7333
16235,Roma - Urbe,16235,41.95,12.5
16239,Roma - Ciampino,16239,41.7833,12.5833
16242,Roma Fiumicino,16242,41.8,12.2333
16243,Latina,16243,41.55,12.9
16244,Frosinone,16244,41.6333,13.3
16245,Pratica Di Mare,16245,41.65,12.45
16249,Cape Circeo - Colonia Elena,16249,41.2508,13.1186
16252,Campobasso,16252,41.5667,14.65
16253,Grazzanise,16253,41.05,14.0667
16258,Monte S. Angelo,16258,41.7,15.95
16260,Foggia - Pozzarsogno,16260,41.4333,15.5333
16261,Amendola,16261,41.5333,15.7167
16263,Trevico,16263,41.05,15.2333
16266,Vieste - Lupetto,16266,41.8881,16.1647
16270,Bari - Palese Macchie,16270,41.1333,16.7833
16271,Bari - Carbonara di Bari,16271,41.1206,16.8836
16280,Ponza,16280,40.9167,12.95
16288,Caserta - Sala,16288,41.0708,14.3236
16289,Napoli - Capodichino,16289,40.85,14.3
16292,Pontecagnano - Faiano,16292,40.6225,14.9108
16294,Capri,16294,40.55,14.2
16300,Potenza,16300,40.6333,15.8
16310,Capo Palinuro,16310,40.0167,15.2833
16312,Gioia Del Colle,16312,40.7667,16.9333
16314,Matera - Martella,16314,40.6753,16.6561
16316,Latronico,16316,40.0833,16.0167
16318,Martina Franca(iafb) - Masseria Orimini,16318,40.6428,17.2061
16320,Brindisi,16320,40.65,17.95
16324,Grottaglie,16324,40.5167,17.4
16325,Marina Di Ginosa,16325,40.4333,16.8833
16332,Lecce,16332,40.2333,18.15
16333,Lecce - Collemeto,16333,40.2383,18.1386
16334,Palascia - Porto Badisco,16334,40.1108,18.5122
16337,Bonifati,16337,39.5833,15.8833
16344,Monte Scuro,16344,39.3333,16.4
16350,Crotone,16350,39.0,17.0667
16360,S. Maria Di Leuca,16360,39.8167,18.35
16362,Lamezia Terme,16362,38.9,16.25
16364,Serralta Di San Vit - Macri,16364,38.7556,16.3683
16365,Catanzaro - Siano,16365,38.9053,16.5953
16400,Ustica,16400,38.7,13.1833
16405,Palermo - Punta Raisi,16405,38.1833,13.1
16410,Palermo Boccadifalco,16410,38.1,13.3
