,reg_shortname,location,filename,wmo_code,lat,lon,alt
0,AB,Preturo,ITA_AB_Preturo.162280_TMYx.epw,162280,42.367,13.3,667.0
0,BC,Potenza,ITA_BC_Potenza.163000_TMYx.epw,163000,40.633,15.8,843.0
0,CL,Catanzaro,ITA_CL_Catanzaro.163650_TMYx.2007-2021.epw,163650,38.9053,16.5953,334.0
0,CM,Napoli-Capodichino.AP,ITA_CM_Napoli-Capodichino.AP.162890_TMYx.2007-2021.epw,162890,40.884,14.291,72.0
0,ER,Bologna-Marconi.AP,ITA_ER_Bologna-Marconi.AP.161400_TMYx.2007-2021.epw,161400,44.5308,11.2969,37.0
0,FV,Trieste-Friuli.Venezia.Guilia.AP,ITA_FV_Trieste-Friuli.Venezia.Guilia.AP.161080_TMYx.2007-2021.epw,161080,45.8275,13.4722,11.0
0,FV,Trieste,ITA_FV_Trieste.161100_TMYx.2007-2021.epw,161100,45.6769,13.7547,3.5
0,FV,Udine-Rivolto.AB,ITA_FV_Udine-Rivolto.AB.160450_TMYx.2007-2021.epw,160450,45.98109,13.04907,55.0
0,FV,Udine.Campoformido.AF,ITA_FV_Udine.Campoformido.AF.160440_TMYx.epw,160440,46.033,13.183,94.0
0,LM,Milano-Linate.AP,ITA_LM_Milano-Linate.AP.160800_TMYx.2007-2021.epw,160800,45.4494,9.2783,103.0
0,LM,Milano-Malpensa.AP,ITA_LM_Milano-Malpensa.AP.160660_TMYx.2007-2021.epw,160660,45.63,8.7231,212.0
0,LZ,Roma-Ciampino.AP,ITA_LZ_Roma-Ciampino.AP.162390_TMYx.2007-2021.epw,162390,41.8081,12.5847,105.0
0,LZ,Roma.Urbe.Rgnl.AP,ITA_LZ_Roma.Urbe.Rgnl.AP.162350_TMYx.2007-2021.epw,162350,41.952,12.5008,24.0
0,LZ,Rome-Fiumicino-da.Vinci.AP,ITA_LZ_Rome-Fiumicino-da.Vinci.AP.162420_TMYx.2007-2021.epw,162420,41.8003,12.2389,3.0
0,LZ,Rome,ITA_LZ_Rome.162400_TMYx.epw,162400,41.9,12.483,95.0
0,LZ,Rome.Central,ITA_LZ_Rome.Central.162380_TMYx.epw,162380,41.868,12.5578,54.0
0,MH,Ancona,ITA_MH_Ancona.161900_TMYx.2007-2021.epw,161900,43.6114,13.5253,143.0
0,ML,Campobasso,ITA_ML_Campobasso.162520_TMYx.2007-2021.epw,162520,41.5636,14.655,807.0
0,PM,Torino-Bric.della.Croce,ITA_PM_Torino-Bric.della.Croce.160610_TMYx.2007-2021.epw,160610,45.0333,7.7317,710.0
0,PM,Torino-Caselle.AP,ITA_PM_Torino-Caselle.AP.160590_TMYx.2007-2021.epw,160590,45.2025,7.6494,287.0
0,PM,Torino.AF,ITA_PM_Torino.AF.160595_TMYx.2007-2021.epw,160595,45.086,7.603,288.3
0,PM,Torino.Venaria,ITA_PM_Torino.Venaria.160600_TMYx.2007-2021.epw,160600,45.1306,7.6175,278.0
0,PU,Bari-Wojtyla.Intl.AP,ITA_PU_Bari-Wojtyla.Intl.AP.162700_TMYx.2007-2021.epw,162700,41.1381,16.765,49.0
0,PU,Bari,ITA_PU_Bari.162710_TMYx.2007-2021.epw,162710,41.1205,16.8836,12.0
0,SC,Palermo-Boccadifalco.AP,ITA_SC_Palermo-Boccadifalco.AP.164090_TMYx.2007-2021.epw,164090,38.1119,13.3117,122.0
0,SC,Palermo-Falcone.Borsellino.AP,ITA_SC_Palermo-Falcone.Borsellino.AP.164050_TMYx.2007-2021.epw,164050,38.1819,13.0994,34.0
0,SD,Cagliari.AP-Elmas.AB,ITA_SD_Cagliari.AP-Elmas.AB.165600_TMYx.2007-2021.epw,165600,39.2436,9.06,2.2
0,TC,Firenze-Peretola.AP,ITA_TC_Firenze-Peretola.AP.161700_TMYx.2007-2021.epw,161700,43.8086,11.2028,38.0
0,TC,Firenze,ITA_TC_Firenze.161710_TMYx.2007-2021.epw,161710,43.7856,11.2158,19.0
0,TT,Bolzano.AP,ITA_TT_Bolzano.AP.160200_TMYx.2007-2021.epw,160200,46.4603,11.3264,241.0
0,TT,Trento.AP,ITA_TT_Trento.AP.160230_TMYx.2007-2021.epw,160230,46.0203,11.1267,190.0
0,UM,Umbria-Perugia-d-Assisi.AP,ITA_UM_Umbria-Perugia-d-Assisi.AP.161810_TMYx.2007-2021.epw,161810,43.0972,12.5103,204.0
0,VD,Aosta.AP,ITA_VD_Aosta.AP.160540_TMYx.2007-2021.epw,160540,45.7347,7.3506,552.0
0,VN,Venezia-Lido.AF,ITA_VN_Venezia-Lido.AF.161010_TMYx.2007-2021.epw,161010,45.4275,12.3842,6.0
0,VN,Venezia-Polo.AP,ITA_VN_Venezia-Polo.AP.161050_TMYx.2007-2021.epw,161050,45.5053,12.3519,6.0
0,VN,Verona.Catullo.AP,ITA_VN_Verona.Catullo.AP.160900_TMYx.2007-2021.epw,160900,45.396,10.889,72.8
