province,city,reg_shortname,alt,lon,lat
AQ,L'Aquila,AB,700.0,13.24,42.21
CH,Chieti,AB,325.0,14.10,42.21
PE,Pescara,AB,5.0,14.13,42.28
TE,Teramo,AB,275.0,13.42,42.40
PZ,Oppido Lucano,BC,767.0,15.58,40.45
MT,Matera,BC,475.0,16.29,40.39
CS,Fitterizi,CL,185.0,16.8,39.31
CZ,Chiaravalle Centrale,CL,714.0,16.24,38.40
KR,Crotone,CL,10.0,17.7,39.5
RC,Reggio Calabria,CL,15.0,15.39,38.6
VV,Vibo Valentia,CL,498.0,16.6,38.40
AV,Mirabella Eclano,CM,309.0,14.59,41.2
BN,Airola,CM,270.0,14.33,41.3
CE,Vitulazio,CM,65.0,14.12,41.9
SA,Battipaglia,CM,55.0,14.39,40.44
SA,Policastro Bussentino,CM,5.0,15.31,40.4
BO,Bologna,ER,48.0,11.19,44.30
FC,Cesena,ER,42.0,12.14,44.8
FE,Ferrara,ER,6.0,11.37,44.49
MO,Modena,ER,37.0,10.55,44.39
PC,Piacenza,ER,51.0,9.40,45.3
PR,Parma,ER,57.0,10.19,44.48
RA,Ravenna,ER,2.0,12.12,44.24
RE,Reggio Emilia,ER,56.0,10.38,44.41
RN,Rimini,ER,7.0,12.34,44.3
GO,Gradisca d'Isonzo ,FV,30.0,13.30,45.53
PN,Pordenone,FV,30.0,12.39,45.57
TS,Trieste - Molo Bandiera,FV,2.0,13.45,45.38
UD,Udine,FV,80.0,13.6,46.1
FR,Frosinone,LZ,179.0,13.19,41.38
LT,Latina,LZ,23.0,12.54,41.28
RI,Piana di Rieti,LZ,378.0,12.48,42.25
RM,Roma ,LZ,32.0,12.31,41.55
VT,Montefiascone,LZ,327.0,12.0,42.28
GE,Recco - Polanesi,LG,50.0,9.7,44.21
IM,Sanremo,LG,61.0,7.47,43.49
SP,Lerici - Monte Rocchetta,LG,360.0,9.56,44.4
SV,Capo Vado Ligure,LG,170.0,8.26,44.15
BG,Bergamo - via Goisis,LM,290.0,9.41,45.43
BS,Bargnano,LM,93.0,10.2,45.26
CO,Vertemate con Minoprio,LM,322.0,9.5,45.43
CR,Capralba,LM,96.0,9.39,45.27
LC,Valmadrera,LM,237.0,9.20,45.50
LO,S.Angelo Lodigiano,LM,60.0,9.24,45.14
MB,Cinisello Balsamo,LM,142.0,9.12,45.32
MI,Milano - via Juvara,LM,122.0,9.13,45.28
MN,Palidano di Gonzaga,LM,22.0,10.46,44.58
PV,Castello di Agogna,LM,106.0,8.41,45.14
SO,Sondrio,LM,307.0,9.52,46.10
VA,Ispra,LM,193.0,8.36,45.48
AN,Ancona - Regione,MH,91.0,13.31,43.37
AP,Mozzano,MH,180.0,13.31,42.49
FM,Porto Sant'Elpidio ,MH,5.0,13.45,43.15
MC,Camerino,MH,581.0,13.4,43.8
PU,Villa Fastiggi,MH,20.0,12.52,43.53
CB,Jelsi,ML,581.0,14.46,41.31
IS,Forli del Sannio,ML,660.0,14.12,41.42
AL,Alessandria Lobbi,PM,90.0,8.42,44.56
